state,state_code,population,sq_miles,pop_density,region,psych_region,psy_reg,b5_1,b5_2,b5_3,b5_4,b5_5,gt01,gt02,gt03,gt04,gt05,gt06,gt07,gt08,gt09,gt10,gt11,gt12,gt13,gt14,gt15,has_nba,has_nfl,has_mlb,has_mls,has_nhl,has_any
Alabama,AL,5024279,52420,96,3,1,1,55.5,52.7,55.5,48.7,42.7,20,23,23,35,36,66,46,65,65,19,55,100,58,46,7,0,0,0,0,0,0
Arizona,AZ,7151502,113990,63,1,2,2,50.6,46.6,58.4,38.1,54.7,26,26,34,35,50,66,53,78,69,26,33,33,37,61,12,1,1,1,0,1,1
Arkansas,AR,3011524,53179,57,3,1,1,49.9,52.7,41.0,56.2,40.3,25,23,22,40,58,63,50,72,61,20,61,52,89,41,4,0,0,0,0,0,0
California,CA,39538223,163695,242,1,2,2,51.4,49.0,43.2,39.1,65.0,57,40,80,46,57,77,62,84,70,25,21,20,33,83,8,1,0,1,1,1,1
Colorado,CO,5773714,104094,55,1,1,1,45.3,47.5,58.8,34.3,57.9,37,26,41,35,64,82,62,85,78,29,31,33,31,71,22,1,1,1,1,1,1
Connecticut,CT,3605944,5543,650,4,3,3,57.6,38.6,34.2,53.4,53.9,38,32,45,40,53,68,65,80,74,31,45,23,39,91,34,0,0,0,0,0,0
Delaware,DE,989948,2489,398,3,3,3,47.0,38.8,36.5,62.4,42.7,36,33,42,43,46,63,72,72,70,26,35,34,37,65,18,0,0,0,0,0,0
Florida,FL,21538187,65758,328,3,1,1,60.9,50.7,62.7,40.8,61.0,28,29,26,35,50,58,54,77,69,24,26,37,35,70,11,1,1,1,1,1,1
Georgia,GA,10711908,59425,180,3,1,1,63.2,60.0,68.8,38.0,56.9,34,29,38,38,59,65,49,71,69,21,35,61,38,62,6,1,1,1,1,0,1
Idaho,ID,1839106,83569,22,1,2,2,40.7,52.9,44.5,44.2,44.7,22,25,25,33,54,61,66,82,77,17,35,41,28,65,11,0,0,0,0,0,0
Illinois,IL,12812508,57914,221,2,1,1,62.5,48.3,50.9,51.2,55.2,46,30,46,40,77,69,53,74,78,32,45,30,41,74,18,1,1,1,1,1,1
Indiana,IN,6785528,36420,186,2,1,1,48.9,50.2,56.2,59.3,44.9,30,24,37,35,48,59,56,74,68,26,74,40,40,65,11,1,1,0,0,0,1
Iowa,IA,3190369,56273,57,2,1,1,62.8,56.6,52.2,49.1,33.7,25,22,31,38,66,80,58,69,74,21,88,77,51,67,14,0,0,0,0,0,0
Kansas,KS,2937880,82278,36,2,1,1,45.5,48.9,50.8,49.0,40.1,24,26,26,38,65,79,62,80,70,26,81,47,47,80,8,0,0,0,1,0,1
Kentucky,KY,4505836,40408,112,3,1,1,53.4,48.1,51.3,62.5,43.0,19,23,20,31,49,62,53,71,65,24,100,47,39,58,7,0,0,0,0,0,0
Louisiana,LA,4657757,52378,89,3,1,1,52.2,49.7,45.0,60.4,53.7,18,24,20,29,29,64,41,68,73,27,32,51,63,44,4,1,1,0,0,0,1
Maine,ME,1362359,35380,39,4,3,3,44.2,32.8,24.0,71.0,50.8,20,23,19,30,34,67,56,85,70,34,27,21,30,60,36,0,0,0,0,0,0
Maryland,MD,6177224,12406,498,3,3,3,35.2,37.3,37.5,49.4,56.6,51,43,61,64,59,73,66,76,73,33,38,30,31,87,13,0,1,1,0,0,1
